tau_sat,b,tau_0,gamma_0,n,strain,stress,grain_id,0p2_phi_1,0p2_Phi,0p2_phi_2,0p4_phi_1,0p4_Phi,0p4_phi_2,0p6_phi_1,0p6_Phi,0p6_phi_2,0p8_phi_1,0p8_Phi,0p8_phi_2,1p0_phi_1,1p0_Phi,1p0_phi_2
,,,,,,,147,2.7932,2.8808,2.9789,2.7892,2.8808,2.9788,2.7854,2.8808,2.9789,2.7818,2.8809,2.9792,2.7786,2.881,2.9794
,,,,,,,148,5.5438,2.5372,5.053,5.5416,2.5369,5.0567,5.5391,2.5361,5.0602,5.5364,2.5353,5.0637,5.5338,2.5345,5.0668
,,,,,,,149,4.4674,2.5525,3.7073,4.4602,2.5552,3.6985,4.4527,2.558,3.6895,4.445,2.5607,3.6801,4.4374,2.5633,3.6711
,,,,,,,150,5.9967,2.1058,4.8206,5.9944,2.1034,4.8164,5.9919,2.1013,4.8119,5.9894,2.0993,4.8075,5.9871,2.0975,4.8033
,,,,,,,151,0.47711,2.4936,6.0802,0.48112,2.4935,6.0845,0.48512,2.4935,6.0888,0.48908,2.4935,6.0931,0.4928,2.4935,6.0971
,,,,,,,152,4.2618,2.5095,3.4674,4.2541,2.5111,3.4578,4.2465,2.5126,3.4485,4.2389,2.5141,3.4393,4.2319,2.5154,3.4307
,,,,,,,153,4.3662,2.4565,4.1431,4.3623,2.4575,4.1449,4.3588,2.4584,4.1469,4.3554,2.4591,4.1489,4.3522,2.4599,4.1508
,,,,,,,154,4.7859,2.6052,4.4713,4.7822,2.6059,4.4729,4.7787,2.6063,4.4748,4.7754,2.6067,4.4766,4.7722,2.6069,4.4783
,,,,,,,155,2.7846,2.8745,2.9694,2.7805,2.8745,2.9693,2.7767,2.8745,2.9693,2.7731,2.8746,2.9695,2.7698,2.8747,2.9697
,,,,,,,156,4.96,1.831,4.0466,4.9599,1.8297,4.0458,4.9598,1.8284,4.0451,4.9597,1.8272,4.0444,4.9596,1.8261,4.0437
,,,,,,,157,4.4718,2.5534,3.712,4.4646,2.5561,3.7033,4.4572,2.5588,3.6943,4.4495,2.5616,3.685,4.442,2.5642,3.676
,,,,,,,158,5.344,2.0326,5.0929,5.3445,2.0344,5.0912,5.345,2.0362,5.0896,5.3455,2.0379,5.0881,5.346,2.0396,5.0868
,,,,,,,159,1.019,2.878,0.87731,1.0243,2.8755,0.88189,1.029,2.873,0.88583,1.0331,2.8705,0.88941,1.0369,2.8681,0.89257
,,,,,,,160,4.4797,2.5529,3.7229,4.4727,2.5556,3.7144,4.4654,2.5584,3.7057,4.4579,2.5611,3.6966,4.4505,2.5638,3.6878
,,,,,,,161,5.9555,2.4155,5.9048,5.9511,2.4143,5.8998,5.947,2.413,5.8951,5.9432,2.4116,5.8907,5.9397,2.4103,5.8866
,,,,,,,162,5.4914,2.1685,4.3084,5.491,2.1665,4.3058,5.4907,2.1646,4.3032,5.4903,2.1628,4.3008,5.49,2.1612,4.2985
,,,,,,,163,5.0383,2.6512,5.1685,5.0419,2.651,5.1695,5.0456,2.6507,5.1706,5.0494,2.6503,5.1717,5.0529,2.6499,5.1728
,,,,,,,164,5.0263,2.1371,4.9152,5.0264,2.1383,4.9134,5.0265,2.1393,4.9118,5.0267,2.1404,4.9103,5.0269,2.1414,4.9089
,,,,,,,165,0.042571,2.4041,5.084,0.043773,2.405,5.0802,0.044985,2.4058,5.0762,0.046236,2.4067,5.0721,0.047464,2.4075,5.068
,,,,,,,166,0.92559,2.5722,5.8873,0.92584,2.573,5.8884,0.92609,2.5742,5.8894,0.92627,2.5755,5.8904,0.92641,2.5768,5.8913
,,,,,,,167,4.2814,3.068,3.6774,4.27,3.0688,3.665,4.2577,3.0696,3.6518,4.2451,3.0704,3.6384,4.233,3.0711,3.6254
,,,,,,,168,0.92566,2.5711,5.8908,0.92594,2.572,5.8919,0.92621,2.5733,5.893,0.92641,2.5746,5.894,0.92658,2.5759,5.895
,,,,,,,169,0.97931,2.8714,0.83823,0.98497,2.869,0.84309,0.98991,2.8665,0.84735,0.99445,2.864,0.85126,0.9985,2.8617,0.85474
,,,,,,,170,5.0692,2.6478,5.2029,5.0726,2.6477,5.2038,5.0764,2.6474,5.205,5.0802,2.647,5.2061,5.0837,2.6466,5.2072
,,,,,,,171,4.5373,2.1387,3.6349,4.5389,2.138,3.6308,4.5406,2.1374,3.6269,4.5424,2.1367,3.6232,4.5441,2.1361,3.6196
,,,,,,,172,0.46773,2.4961,6.0678,0.47196,2.496,6.0724,0.47616,2.496,6.077,0.48033,2.496,6.0816,0.48424,2.496,6.0858
,,,,,,,173,0.23257,2.7121,0.1057,0.23811,2.7118,0.10912,0.24367,2.7114,0.11252,0.24931,2.7111,0.11593,0.25474,2.7107,0.11918
,,,,,,,174,2.7711,2.8819,2.9545,2.767,2.8818,2.9544,2.7633,2.8818,2.9545,2.7597,2.8819,2.9547,2.7564,2.882,2.9549
,,,,,,,175,5.0345,2.4452,4.4617,5.0348,2.4443,4.4652,5.0353,2.4433,4.4688,5.0357,2.4422,4.4726,5.0362,2.4411,4.4763
,,,,,,,176,2.7703,2.8873,2.9552,2.7663,2.8872,2.9551,2.7626,2.8873,2.9553,2.759,2.8874,2.9555,2.7558,2.8875,2.9557
,,,,,,,177,5.0431,2.6449,5.1758,5.0467,2.6448,5.1768,5.0505,2.6445,5.1779,5.0543,2.6441,5.179,5.0579,2.6438,5.18
,,,,,,,178,4.6425,2.9842,4.369,4.6432,2.9842,4.368,4.6437,2.9842,4.3668,4.6441,2.9844,4.3657,4.6445,2.9846,4.3646
,,,,,,,179,0.91407,2.5766,5.8786,0.91447,2.5774,5.8798,0.91487,2.5787,5.8809,0.91518,2.58,5.882,0.91545,2.5813,5.883
,,,,,,,180,3.6214,2.5404,2.5134,3.629,2.5446,2.5203,3.6365,2.5488,2.5275,3.6439,2.553,2.5347,3.6509,2.5571,2.5416
,,,,,,,181,5.0284,2.1389,4.912,5.0285,2.14,4.9104,5.0287,2.141,4.9089,5.0289,2.1421,4.9075,5.0291,2.1431,4.9062
,,,,,,,182,5.2378,2.118,5.3235,5.2399,2.1201,5.3197,5.242,2.1223,5.3158,5.2442,2.1246,5.3118,5.2463,2.1268,5.308
,,,,,,,183,6.2755,2.272,5.3303,6.2744,2.2709,5.3303,6.2732,2.2698,5.3303,6.2721,2.2686,5.3303,6.2709,2.2675,5.3303
,,,,,,,184,2.7741,2.8892,2.9576,2.7701,2.8891,2.9575,2.7663,2.8891,2.9576,2.7627,2.8892,2.9578,2.7595,2.8893,2.9581
,,,,,,,185,3.4718,2.6327,3.7331,3.4732,2.6331,3.7336,3.4749,2.6336,3.7343,3.477,2.6342,3.7352,3.479,2.6347,3.7362
,,,,,,,186,5.03,2.4335,4.4594,5.0304,2.4324,4.463,5.031,2.4312,4.4668,5.0316,2.4299,4.4707,5.0321,2.4287,4.4745
,,,,,,,187,5.2719,2.9372,5.556,5.2705,2.9378,5.5563,5.2685,2.9388,5.5558,5.2663,2.9397,5.5551,5.2641,2.9407,5.5543
,,,,,,,188,4.2359,2.7096,3.8726,4.2316,2.7113,3.8695,4.2271,2.7131,3.8661,4.2226,2.7148,3.8627,4.2183,2.7164,3.8595
,,,,,,,189,5.551,2.5399,5.0628,5.5487,2.5395,5.0665,5.5461,2.5389,5.0699,5.5433,2.5381,5.0733,5.5406,2.5374,5.0764
,,,,,,,190,0.22982,2.7174,0.10085,0.23533,2.7171,0.10418,0.24084,2.7167,0.10748,0.24643,2.7164,0.11078,0.25182,2.7161,0.11394
,,,,,,,191,4.2391,2.7113,3.8733,4.2348,2.7131,3.8701,4.2303,2.7149,3.8667,4.2258,2.7166,3.8633,4.2215,2.7183,3.86
,,,,,,,192,3.9977,2.6745,3.0055,3.9989,2.675,3.0076,4.0,2.6754,3.0095,4.001,2.6759,3.0113,4.002,2.6762,3.013
,,,,,,,193,5.5766,2.0898,4.7079,5.576,2.0866,4.7074,5.5754,2.0834,4.7068,5.5748,2.0802,4.7062,5.5742,2.0773,4.7057
,,,,,,,194,0.47038,2.4849,6.0706,0.47451,2.4848,6.0751,0.47861,2.4847,6.0796,0.48268,2.4847,6.0841,0.4865,2.4847,6.0883
,,,,,,,195,5.2501,2.9416,3.9541,5.2466,2.942,3.9522,5.2421,2.9423,3.9491,5.2372,2.9425,3.9455,5.2324,2.9426,3.942
,,,,,,,196,4.538,2.1387,3.6315,4.5397,2.138,3.6274,4.5414,2.1374,3.6235,4.5431,2.1367,3.6197,4.5448,2.1361,3.6161
,,,,,,,197,4.2324,2.7096,3.8669,4.2281,2.7113,3.8637,4.2236,2.7131,3.8603,4.2191,2.7149,3.8569,4.2148,2.7165,3.8536
,,,,,,,198,0.46885,2.4997,6.07,0.47306,2.4996,6.0746,0.47725,2.4996,6.0791,0.4814,2.4996,6.0837,0.48529,2.4996,6.0879
,,,,,,,199,5.2409,2.1201,5.3242,5.2431,2.1222,5.3204,5.2453,2.1245,5.3165,5.2476,2.1267,5.3126,5.2497,2.1289,5.3088
,,,,,,,200,4.6443,1.8726,4.4043,4.645,1.8725,4.4052,4.6459,1.8725,4.4063,4.6468,1.8725,4.4074,4.6478,1.8724,4.4085
,,,,,,,201,2.7732,2.8806,2.9571,2.7692,2.8805,2.957,2.7654,2.8805,2.957,2.7618,2.8806,2.9572,2.7585,2.8807,2.9574
,,,,,,,202,4.4989,2.5575,3.7411,4.4921,2.5602,3.7328,4.4849,2.563,3.7242,4.4776,2.5657,3.7154,4.4704,2.5684,3.7068
,,,,,,,203,6.198,2.0822,5.1072,6.1957,2.0779,5.1037,6.1935,2.0736,5.1003,6.1913,2.0693,5.097,6.1892,2.0652,5.0938
,,,,,,,204,1.4325,3.0222,1.6982,1.4296,3.0231,1.6974,1.4243,3.0241,1.6942,1.4183,3.0251,1.6901,1.4122,3.0261,1.686
,,,,,,,205,3.8119,2.7684,4.0049,3.8151,2.7684,4.0077,3.819,2.7685,4.0109,3.8231,2.7686,4.0143,3.8272,2.7688,4.0177
,,,,,,,206,5.042,2.6503,5.1718,5.0455,2.6502,5.1728,5.0493,2.6498,5.1739,5.053,2.6494,5.1751,5.0565,2.649,5.1761
,,,,,,,207,5.37,2.5451,4.0707,5.3737,2.5451,4.0709,5.3774,2.5449,4.0711,5.3811,2.5448,4.0715,5.3846,2.5446,4.0718
,,,,,,,208,5.0424,1.9704,4.9483,5.0414,1.972,4.9458,5.0405,1.9736,4.9433,5.0397,1.9753,4.9409,5.0389,1.9768,4.9386
,,,,,,,209,0.064476,2.8045,5.6516,0.077533,2.8062,5.6653,0.09030900000000001,2.8079,5.6787,0.10303,2.8095,5.6919,0.11502,2.8111,5.7043
,,,,,,,210,3.4718,2.6334,3.7311,3.4732,2.6338,3.7317,3.4751,2.6344,3.7325,3.4771,2.6349,3.7335,3.4792,2.6355,3.7346
,,,,,,,211,0.6074,2.6994,5.5432,0.60944,2.7001,5.5447,0.61158,2.7008,5.5462,0.61369,2.7015,5.5477,0.61566,2.7022,5.5491
,,,,,,,212,3.4662,2.633,3.7251,3.4676,2.6333,3.7257,3.4694,2.6338,3.7264,3.4714,2.6344,3.7274,3.4735,2.635,3.7285
,,,,,,,213,5.5103,2.1044,5.1238,5.5109,2.1042,5.1246,5.5116,2.1041,5.1254,5.5123,2.1039,5.1262,5.5129,2.1037,5.1269
,,,,,,,214,4.724,2.6815,4.8485,4.7276,2.6811,4.8498,4.7313,2.6806,4.8509,4.7349,2.6801,4.8521,4.7382,2.6796,4.8533
,,,,,,,215,3.9426,2.4108,3.5226,3.9379,2.4132,3.5181,3.9334,2.4157,3.5134,3.9289,2.4182,3.5088,3.9247,2.4206,3.5044
,,,,,,,216,4.4772,2.5467,3.7206,4.4703,2.5494,3.7123,4.4632,2.5521,3.7036,4.4558,2.5548,3.6947,4.4486,2.5574,3.686
,,,,,,,217,0.99271,2.8749,0.84801,0.99823,2.8725,0.8527,1.003,2.87,0.85679,1.0074,2.8676,0.86055,1.0114,2.8653,0.8639
,,,,,,,218,6.0179,1.9647,4.8569,6.0169,1.9635,4.8555,6.0158,1.9623,4.8541,6.0147,1.9612,4.8526,6.0135,1.9602,4.8512
,,,,,,,219,5.0351,2.6525,5.1628,5.0386,2.6523,5.1638,5.0423,2.652,5.1649,5.046,2.6515,5.1661,5.0495,2.6511,5.1672
,,,,,,,220,4.6782,2.9802,4.4016,4.6787,2.9802,4.4005,4.6791,2.9803,4.3994,4.6794,2.9805,4.3983,4.6797,2.9807,4.3972
,,,,,,,221,0.5775,2.7022,5.511,0.57969,2.7029,5.5125,0.582,2.7037,5.5141,0.58428,2.7044,5.5156,0.58642,2.705,5.517
,,,,,,,222,3.8791,2.3537,3.0389,3.8803,2.3542,3.0406,3.8815,2.3547,3.0422,3.8826,2.3552,3.0437,3.8837,2.3557,3.0452
,,,,,,,223,2.0117,2.9848,0.90702,1.9959,2.9863,0.89184,1.9809,2.9878,0.87747,1.9659,2.9892,0.86319,1.9517,2.9906,0.84963
,,,,,,,224,5.6656,2.1051,4.69,5.6642,2.1018,4.6878,5.6627,2.0987,4.6855,5.6611,2.0956,4.6831,5.6595,2.0928,4.6808
,,,,,,,225,2.7881,2.8834,2.9714,2.784,2.8833,2.9713,2.7802,2.8833,2.9714,2.7766,2.8834,2.9716,2.7733,2.8835,2.9718
,,,,,,,226,3.1178,2.6978,2.3551,3.128,2.7007,2.3673,3.1388,2.7037,2.38,3.1499,2.7067,2.3929,3.1607,2.7094,2.4054
,,,,,,,227,5.1479,2.2024,4.1321,5.1504,2.1981,4.13,5.1527,2.1939,4.1278,5.155,2.1897,4.1257,5.1571,2.1859,4.1237
,,,,,,,228,4.2434,2.7115,3.8743,4.2391,2.7133,3.871,4.2345,2.7152,3.8676,4.2299,2.717,3.8641,4.2256,2.7187,3.8608
,,,,,,,229,4.5397,2.1393,3.6329,4.5413,2.1387,3.6288,4.543,2.138,3.6249,4.5448,2.1374,3.6211,4.5465,2.1368,3.6175
,,,,,,,230,4.7621,2.4313,3.9217,4.7614,2.4318,3.9182,4.7608,2.4323,3.9148,4.7602,2.4328,3.9113,4.7596,2.4332,3.908
,,,,,,,231,5.7378,2.0335,5.2121,5.7378,2.0323,5.2132,5.7379,2.0312,5.2144,5.738,2.0302,5.2155,5.7381,2.0292,5.2165
,,,,,,,232,0.47121,2.4884,6.0636,0.47548,2.4883,6.0683,0.47972,2.4883,6.073,0.48392,2.4883,6.0777,0.48786,2.4883,6.082
,,,,,,,233,4.8099,2.576,3.8865,4.8054,2.5778,3.8787,4.8009,2.5796,3.871,4.7963,2.5813,3.8632,4.7917,2.583,3.8555
,,,,,,,234,4.9854,1.8627,4.1207,4.9852,1.8607,4.1196,4.985,1.8589,4.1186,4.9849,1.8571,4.1176,4.9847,1.8555,4.1166
,,,,,,,235,0.47585,2.5014,6.0782,0.47993,2.5013,6.0826,0.48399,2.5013,6.087,0.48802,2.5013,6.0914,0.4918,2.5013,6.0954
,,,,,,,236,4.9228,2.1859,4.5888,4.9252,2.1848,4.5939,4.9274,2.1838,4.5989,4.9297,2.1828,4.6037,4.9318,2.182,4.6083
,,,,,,,237,5.2409,2.1215,5.3214,5.2431,2.1237,5.3175,5.2453,2.1259,5.3136,5.2476,2.1282,5.3096,5.2497,2.1304,5.3058
,,,,,,,238,5.5359,2.2584,4.4797,5.5352,2.254,4.4751,5.5344,2.2498,4.4705,5.5336,2.2457,4.4659,5.5328,2.2418,4.4616
,,,,,,,239,5.9817,2.9292,5.5469,5.9919,2.9295,5.5562,6.0028,2.9299,5.5661,6.0139,2.9302,5.5762,6.0245,2.9305,5.5859
,,,,,,,240,4.1017,3.1176,3.1919,4.098,3.1173,3.1885,4.092,3.117,3.1828,4.0859,3.1166,3.1771,4.0803,3.1163,3.1718
,,,,,,,241,5.5276,2.5518,5.034,5.5255,2.5516,5.0378,5.5232,2.5511,5.0414,5.5207,2.5505,5.045,5.5182,2.55,5.0483
,,,,,,,242,5.8524,1.8603,5.3022,5.8531,1.8614,5.3022,5.8539,1.8624,5.3022,5.8546,1.8634,5.3022,5.8553,1.8644,5.3022
,,,,,,,243,4.834,1.8951,3.9123,4.8366,1.8919,3.9121,4.839,1.8889,3.9119,4.8413,1.8859,3.9116,4.8435,1.8832,3.9114
,,,,,,,244,5.8478,1.8745,5.3012,5.8485,1.8754,5.3012,5.8492,1.8762,5.3012,5.8498,1.8771,5.3013,5.8505,1.8778,5.3013
,,,,,,,245,4.3835,2.2908,3.9634,4.3816,2.2922,3.9647,4.3797,2.2936,3.9661,4.3777,2.2949,3.9676,4.3758,2.2963,3.9691
,,,,,,,246,4.29,2.644,4.4589,4.2937,2.6437,4.4598,4.2972,2.6434,4.4605,4.3006,2.6431,4.4613,4.3038,2.6427,4.462
,,,,,,,247,6.0723,2.6876,6.0947,6.0669,2.6872,6.0909,6.0613,2.6868,6.087,6.0555,2.6864,6.0829,6.0499,2.686,6.0789
,,,,,,,248,0.47799,2.5013,6.0794,0.48205,2.5012,6.0837,0.4861,2.5012,6.0881,0.49011,2.5012,6.0924,0.49387,2.5013,6.0965
,,,,,,,249,5.5257,2.5513,5.0331,5.5236,2.5512,5.0369,5.5213,2.5507,5.0405,5.5188,2.5501,5.0441,5.5163,2.5495,5.0474
,,,,,,,250,5.3511,2.6628,4.9303,5.3491,2.664,4.9332,5.3464,2.6649,4.9355,5.3433,2.6657,4.9376,5.3404,2.6664,4.9395
,,,,,,,251,4.4664,2.1631,4.726,4.4644,2.1622,4.7213,4.4626,2.1614,4.7168,4.4608,2.1606,4.7124,4.4592,2.1599,4.7082
,,,,,,,252,4.2341,2.3544,4.5283,4.2343,2.3527,4.5237,4.2344,2.3511,4.5192,4.2345,2.3495,4.5149,4.2346,2.348,4.5109
,,,,,,,253,5.8561,1.8634,5.3029,5.8568,1.8643,5.3029,5.8575,1.8652,5.3029,5.8582,1.8662,5.303,5.8588,1.867,5.303
,,,,,,,254,4.7616,2.4293,3.9204,4.7609,2.4298,3.9169,4.7604,2.4303,3.9135,4.7598,2.4307,3.9101,4.7593,2.4312,3.9067
,,,,,,,255,4.7629,2.4291,3.9216,4.7623,2.4296,3.9182,4.7617,2.43,3.9148,4.7612,2.4305,3.9114,4.7606,2.4309,3.9081
,,,,,,,256,4.2354,2.3553,4.5326,4.2355,2.3536,4.5278,4.2356,2.3519,4.5233,4.2357,2.3503,4.5189,4.2358,2.3488,4.5148
,,,,,,,257,0.46674,2.8825,0.1771,0.47223,2.8825,0.17922,0.47745,2.8826,0.18135,0.48251,2.8828,0.18349,0.48721,2.883,0.1855
,,,,,,,258,5.7374,2.0356,5.2078,5.7374,2.0344,5.2091,5.7374,2.0332,5.2102,5.7375,2.0321,5.2114,5.7375,2.031,5.2125
,,,,,,,259,5.8017,2.8783,5.9035,5.7935,2.8776,5.898,5.7854,2.8768,5.8928,5.7774,2.876,5.8876,5.7699,2.8753,5.8828
,,,,,,,260,4.2852,2.6446,4.4532,4.2889,2.6444,4.454,4.2924,2.6441,4.4548,4.2958,2.6437,4.4556,4.299,2.6434,4.4564
,,,,,,,261,5.7901,2.8745,5.8938,5.7819,2.8737,5.8885,5.774,2.873,5.8834,5.7662,2.8722,5.8783,5.7589,2.8715,5.8737
,,,,,,,262,5.1993,2.0918,4.4578,5.1994,2.0877,4.4579,5.1994,2.0836,4.4579,5.1993,2.0796,4.4578,5.1991,2.0759,4.4575
,,,,,,,263,5.0324,2.0735,3.9076,5.0347,2.0715,3.9073,5.0368,2.0695,3.9069,5.0387,2.0676,3.9065,5.0405,2.0658,3.9062
,,,,,,,264,6.0188,2.1372,5.3771,6.0146,2.1337,5.3783,6.0107,2.1304,5.3794,6.0068,2.127,5.3805,6.0032,2.1239,5.3815
,,,,,,,265,3.746,2.3813,2.8929,3.7504,2.3822,2.8988,3.7546,2.383,2.9043,3.7587,2.3838,2.9097,3.7625,2.3846,2.9148
,,,,,,,266,5.7349,2.0408,5.2082,5.7349,2.0396,5.2094,5.735,2.0384,5.2106,5.735,2.0372,5.2118,5.735,2.0361,5.2129
,,,,,,,267,5.931,2.4977,4.8423,5.9314,2.4979,4.839,5.9318,2.4979,4.8354,5.9323,2.498,4.8318,5.9327,2.498,4.8283
,,,,,,,268,5.1968,2.0929,4.4523,5.1969,2.0887,4.4524,5.1968,2.0846,4.4523,5.1967,2.0805,4.4521,5.1966,2.0767,4.4519
,,,,,,,269,5.7991,2.2401,4.5099,5.7983,2.2387,4.5061,5.7975,2.2374,4.5025,5.7967,2.2362,4.4991,5.796,2.235,4.4958
,,,,,,,270,4.2201,2.3472,4.5167,4.2202,2.3455,4.5121,4.2203,2.3438,4.5077,4.2203,2.3422,4.5034,4.2204,2.3406,4.4995
,,,,,,,271,4.8214,1.8917,3.8908,4.8242,1.8887,3.8906,4.8268,1.8858,3.8905,4.8293,1.8829,3.8904,4.8316,1.8803,3.8902
,,,,,,,272,0.46815,2.501,6.0665,0.47243,2.5009,6.0712,0.47668,2.5009,6.0758,0.4809,2.5009,6.0804,0.48485,2.5009,6.0847
,,,,,,,273,4.3996,2.2429,3.5503,4.397,2.2429,3.5436,4.3941,2.2431,3.5369,4.3912,2.2432,3.53,4.3883,2.2434,3.5234
,,,,,,,274,2.7956,2.8791,2.9782,2.7915,2.879,2.9781,2.7876,2.879,2.9781,2.784,2.8791,2.9783,2.7807,2.8792,2.9785
,,,,,,,275,5.5232,2.2665,4.4654,5.5228,2.2621,4.4609,5.5222,2.2579,4.4563,5.5216,2.2537,4.4517,5.521,2.2499,4.4474
,,,,,,,276,0.46982,2.5013,6.0649,0.47413,2.5013,6.0697,0.47841,2.5013,6.0744,0.48265,2.5013,6.079,0.48663,2.5013,6.0834
,,,,,,,277,5.7006,2.7992,5.855,5.6958,2.7987,5.8526,5.6914,2.7983,5.8505,5.6872,2.7981,5.8484,5.6833,2.7978,5.8465
,,,,,,,278,5.4285,2.0849,5.6523,5.4329,2.0874,5.6543,5.4372,2.09,5.6563,5.4417,2.0926,5.6583,5.446,2.0951,5.6603
,,,,,,,279,5.8593,1.8655,5.3022,5.8599,1.8664,5.3023,5.8606,1.8672,5.3023,5.8612,1.868,5.3024,5.8618,1.8688,5.3025
,,,,,,,280,5.8631,1.8625,5.3067,5.8638,1.8634,5.3067,5.8645,1.8643,5.3068,5.8651,1.8651,5.3068,5.8658,1.8659,5.3069
,,,,,,,281,4.98,1.8602,4.1091,4.9799,1.8583,4.108,4.9798,1.8565,4.107,4.9797,1.8547,4.106,4.9795,1.8531,4.1051
,,,,,,,282,4.7974,1.9104,4.2314,4.798,1.9066,4.2321,4.7983,1.9027,4.2326,4.7986,1.8988,4.233,4.7988,1.8952,4.2332
,,,,,,,283,5.0475,2.6505,5.1729,5.0509,2.6503,5.1738,5.0546,2.6499,5.1749,5.0583,2.6495,5.1761,5.0617,2.649,5.1771
,,,,,,,284,1.9945,2.982,0.88727,1.9788,2.9834,0.87219,1.9638,2.9848,0.8579,1.9489,2.9862,0.8437,1.9348,2.9875,0.83023
,,,,,,,285,5.5963,2.4816,5.385,5.5942,2.4805,5.3839,5.5922,2.4794,5.3829,5.5904,2.4783,5.382,5.5886,2.4773,5.3811
,,,,,,,286,1.7068,2.9126,0.51914,1.6966,2.9127,0.51002,1.6865,2.9129,0.50085,1.6764,2.9131,0.49179,1.6669,2.9132,0.48325
,,,,,,,287,5.5991,2.4769,5.3902,5.5971,2.4758,5.3891,5.5953,2.4747,5.3882,5.5934,2.4736,5.3872,5.5917,2.4726,5.3864
,,,,,,,288,1.7092,2.9126,0.51868,1.6991,2.9128,0.50967,1.689,2.9129,0.50058,1.679,2.9131,0.49159,1.6695,2.9132,0.48312
,,,,,,,289,0.14361,2.3578,6.0212,0.14584,2.3572,6.0224,0.14821,2.3563,6.024,0.15065,2.3555,6.0256,0.15298,2.3546,6.0271
,,,,,,,290,3.6326,2.7952,2.8885,3.6383,2.7952,2.8944,3.6438,2.7953,2.8998,3.6491,2.7954,2.9051,3.654,2.7955,2.91
,,,,,,,291,4.7345,2.1822,4.7613,4.7341,2.1828,4.7591,4.7338,2.1834,4.7569,4.7335,2.184,4.7549,4.7332,2.1846,4.7531
,,,,,,,292,0.4776,2.5005,6.076,0.48172,2.5004,6.0805,0.48582,2.5004,6.0849,0.48989,2.5004,6.0893,0.4937,2.5005,6.0935
,,,,,,,293,5.9964,2.393,5.7289,5.993,2.3926,5.726,5.9896,2.3923,5.7233,5.9863,2.3921,5.7207,5.9831,2.3918,5.7183
,,,,,,,294,5.5909,2.482,5.3824,5.5889,2.481,5.3812,5.587,2.4799,5.3803,5.5852,2.4788,5.3794,5.5835,2.4777,5.3786
,,,,,,,295,2.941,2.9267,2.8639,2.936,2.9265,2.8581,2.9311,2.9262,2.8523,2.9262,2.926,2.8464,2.9213,2.9257,2.8407
,,,,,,,296,5.0298,2.3133,5.0169,5.031,2.314,5.0143,5.0321,2.3147,5.0119,5.0333,2.3154,5.0095,5.0343,2.316,5.0074
,,,,,,,297,4.7238,2.1868,4.7449,4.7235,2.1874,4.743,4.7233,2.1879,4.7411,4.7231,2.1885,4.7394,4.7229,2.189,4.7377
,,,,,,,298,6.0041,2.3903,5.7379,6.0008,2.39,5.7349,5.9974,2.3897,5.7322,5.9941,2.3895,5.7295,5.9909,2.3892,5.727
,,,,,,,299,4.6791,2.4284,3.7547,4.6771,2.429,3.7484,4.6751,2.4297,3.7424,4.6731,2.4303,3.7363,4.6711,2.4309,3.7303
,,,,,,,300,0.71731,2.4571,6.0615,0.72076,2.4584,6.0661,0.72415,2.4597,6.0705,0.72749,2.4609,6.0749,0.73059,2.4621,6.079
,,,,,,,301,5.6117,2.4702,5.399,5.6096,2.4691,5.3979,5.6078,2.468,5.3969,5.6059,2.467,5.396,5.6042,2.4659,5.3951
,,,,,,,302,4.4056,2.2319,3.558,4.4033,2.2319,3.5516,4.4007,2.232,3.5451,4.3981,2.2321,3.5385,4.3956,2.2322,3.5322
