tau_sat,b,tau_0,gamma_0,n,cd,beta,reason
1500.0,0.1,350.0,3.333e-05,4.0,600.0,5.0,timeout
1500.0,0.1,450.0,3.333e-05,4.0,800.0,5.0,timeout
2000.0,0.1,50.0,3.333e-05,3.0,1000.0,5.0,timeout
2000.0,0.1,150.0,3.333e-05,3.0,1000.0,5.0,timeout
500.0,10.0,50.0,3.333e-05,1.0,200.0,5.0,failed
1000.0,10.0,50.0,3.333e-05,1.0,600.0,5.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,400.0,5.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,600.0,5.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,800.0,5.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,200.0,5.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,400.0,5.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,600.0,5.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,200.0,5.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,400.0,5.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,600.0,5.0,timeout
2000.0,10.0,150.0,3.333e-05,1.0,800.0,5.0,failed
500.0,10.0,50.0,3.333e-05,1.0,800.0,10.0,failed
500.0,10.0,50.0,3.333e-05,1.0,1000.0,10.0,failed
1000.0,10.0,50.0,3.333e-05,1.0,600.0,10.0,timeout
1500.0,10.0,50.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,400.0,10.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,600.0,10.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,1000.0,10.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,400.0,10.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,600.0,10.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,200.0,10.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,400.0,10.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,600.0,10.0,failed
500.0,10.0,50.0,3.333e-05,1.0,200.0,15.0,failed
500.0,10.0,50.0,3.333e-05,1.0,800.0,15.0,failed
500.0,10.0,50.0,3.333e-05,1.0,1000.0,15.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,200.0,15.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,400.0,15.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,600.0,15.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,800.0,15.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,1000.0,15.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,200.0,15.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,400.0,15.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,200.0,15.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,400.0,15.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,600.0,15.0,failed
500.0,10.0,50.0,3.333e-05,1.0,600.0,20.0,timeout
500.0,10.0,50.0,3.333e-05,1.0,800.0,20.0,failed
500.0,10.0,50.0,3.333e-05,1.0,1000.0,20.0,failed
1000.0,10.0,50.0,3.333e-05,1.0,400.0,20.0,failed
1000.0,10.0,50.0,3.333e-05,1.0,600.0,20.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,200.0,20.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,400.0,20.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,600.0,20.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,800.0,20.0,failed
1500.0,10.0,50.0,3.333e-05,1.0,1000.0,20.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,200.0,20.0,failed
2000.0,10.0,50.0,3.333e-05,1.0,400.0,20.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,200.0,20.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,400.0,20.0,failed
2000.0,10.0,150.0,3.333e-05,1.0,600.0,20.0,failed
500.0,100.0,50.0,3.333e-05,1.0,200.0,5.0,failed
500.0,100.0,50.0,3.333e-05,1.0,400.0,5.0,timeout
500.0,100.0,50.0,3.333e-05,1.0,600.0,5.0,failed
500.0,100.0,50.0,3.333e-05,1.0,800.0,5.0,failed
500.0,100.0,50.0,3.333e-05,1.0,1000.0,5.0,failed
500.0,100.0,250.0,3.333e-05,1.0,200.0,5.0,failed
500.0,100.0,250.0,3.333e-05,1.0,400.0,5.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,200.0,5.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,400.0,5.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,600.0,5.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,1000.0,5.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,200.0,5.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,400.0,5.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,600.0,5.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,800.0,5.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,1000.0,5.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,200.0,5.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,800.0,5.0,failed
1000.0,100.0,350.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,400.0,5.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,600.0,5.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,800.0,5.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,1000.0,5.0,failed
1500.0,100.0,150.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,400.0,5.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,600.0,5.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,800.0,5.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,1000.0,5.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,400.0,5.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,800.0,5.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,1000.0,5.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,200.0,5.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,400.0,5.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,600.0,5.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,800.0,5.0,failed
2000.0,100.0,50.0,3.333e-05,1.0,200.0,5.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,200.0,5.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,400.0,5.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,600.0,5.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,800.0,5.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,1000.0,5.0,failed
2000.0,100.0,250.0,3.333e-05,1.0,200.0,5.0,failed
2000.0,100.0,450.0,3.333e-05,1.0,200.0,5.0,failed
500.0,100.0,50.0,3.333e-05,1.0,200.0,10.0,failed
500.0,100.0,50.0,3.333e-05,1.0,400.0,10.0,failed
500.0,100.0,50.0,3.333e-05,1.0,600.0,10.0,failed
500.0,100.0,50.0,3.333e-05,1.0,800.0,10.0,failed
500.0,100.0,50.0,3.333e-05,1.0,1000.0,10.0,failed
500.0,100.0,250.0,3.333e-05,1.0,200.0,10.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,200.0,10.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,400.0,10.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,600.0,10.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,1000.0,10.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,200.0,10.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,400.0,10.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,600.0,10.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,800.0,10.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,1000.0,10.0,timeout
1000.0,100.0,250.0,3.333e-05,1.0,200.0,10.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,400.0,10.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,600.0,10.0,failed
1000.0,100.0,350.0,3.333e-05,1.0,200.0,10.0,failed
1000.0,100.0,450.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,400.0,10.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,600.0,10.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,1000.0,10.0,failed
1500.0,100.0,150.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,400.0,10.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,600.0,10.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,800.0,10.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,1000.0,10.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,400.0,10.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,600.0,10.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,800.0,10.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,1000.0,10.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,200.0,10.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,800.0,10.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,1000.0,10.0,failed
2000.0,100.0,50.0,3.333e-05,1.0,200.0,10.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,200.0,10.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,400.0,10.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,600.0,10.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,800.0,10.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,1000.0,10.0,failed
2000.0,100.0,250.0,3.333e-05,1.0,200.0,10.0,failed
2000.0,100.0,350.0,3.333e-05,1.0,200.0,10.0,failed
500.0,100.0,50.0,3.333e-05,1.0,200.0,15.0,failed
500.0,100.0,50.0,3.333e-05,1.0,400.0,15.0,failed
500.0,100.0,50.0,3.333e-05,1.0,600.0,15.0,failed
500.0,100.0,50.0,3.333e-05,1.0,800.0,15.0,failed
500.0,100.0,50.0,3.333e-05,1.0,1000.0,15.0,failed
500.0,100.0,250.0,3.333e-05,1.0,200.0,15.0,failed
500.0,100.0,350.0,3.333e-05,1.0,200.0,15.0,timeout
1000.0,100.0,50.0,3.333e-05,1.0,200.0,15.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,400.0,15.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,600.0,15.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,800.0,15.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,1000.0,15.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,200.0,15.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,400.0,15.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,600.0,15.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,800.0,15.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,1000.0,15.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,200.0,15.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,600.0,15.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,800.0,15.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,200.0,15.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,400.0,15.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,1000.0,15.0,failed
1500.0,100.0,150.0,3.333e-05,1.0,200.0,15.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,200.0,15.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,400.0,15.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,600.0,15.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,800.0,15.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,1000.0,15.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,200.0,15.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,600.0,15.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,800.0,15.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,1000.0,15.0,timeout
1500.0,100.0,450.0,3.333e-05,1.0,400.0,15.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,600.0,15.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,800.0,15.0,timeout
1500.0,100.0,450.0,3.333e-05,1.0,1000.0,15.0,failed
2000.0,100.0,50.0,3.333e-05,1.0,200.0,15.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,200.0,15.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,400.0,15.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,600.0,15.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,800.0,15.0,timeout
2000.0,100.0,150.0,3.333e-05,1.0,1000.0,15.0,timeout
2000.0,100.0,250.0,3.333e-05,1.0,200.0,15.0,failed
2000.0,100.0,450.0,3.333e-05,1.0,200.0,15.0,failed
500.0,100.0,50.0,3.333e-05,1.0,200.0,20.0,failed
500.0,100.0,50.0,3.333e-05,1.0,400.0,20.0,failed
500.0,100.0,50.0,3.333e-05,1.0,600.0,20.0,failed
500.0,100.0,50.0,3.333e-05,1.0,800.0,20.0,failed
500.0,100.0,50.0,3.333e-05,1.0,1000.0,20.0,failed
500.0,100.0,250.0,3.333e-05,1.0,200.0,20.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,200.0,20.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,400.0,20.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,600.0,20.0,failed
1000.0,100.0,50.0,3.333e-05,1.0,1000.0,20.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,200.0,20.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,400.0,20.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,600.0,20.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,800.0,20.0,failed
1000.0,100.0,150.0,3.333e-05,1.0,1000.0,20.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,200.0,20.0,failed
1000.0,100.0,250.0,3.333e-05,1.0,800.0,20.0,failed
1000.0,100.0,350.0,3.333e-05,1.0,200.0,20.0,failed
1000.0,100.0,450.0,3.333e-05,1.0,200.0,20.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,200.0,20.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,400.0,20.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,600.0,20.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,800.0,20.0,failed
1500.0,100.0,50.0,3.333e-05,1.0,1000.0,20.0,failed
1500.0,100.0,150.0,3.333e-05,1.0,200.0,20.0,failed
1500.0,100.0,150.0,3.333e-05,1.0,800.0,20.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,200.0,20.0,timeout
1500.0,100.0,250.0,3.333e-05,1.0,400.0,20.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,600.0,20.0,failed
1500.0,100.0,250.0,3.333e-05,1.0,1000.0,20.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,200.0,20.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,600.0,20.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,800.0,20.0,failed
1500.0,100.0,350.0,3.333e-05,1.0,1000.0,20.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,200.0,20.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,400.0,20.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,600.0,20.0,failed
1500.0,100.0,450.0,3.333e-05,1.0,800.0,20.0,failed
2000.0,100.0,50.0,3.333e-05,1.0,200.0,20.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,200.0,20.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,400.0,20.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,600.0,20.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,800.0,20.0,failed
2000.0,100.0,150.0,3.333e-05,1.0,1000.0,20.0,failed
2000.0,100.0,350.0,3.333e-05,1.0,200.0,20.0,failed
2000.0,100.0,450.0,3.333e-05,1.0,200.0,20.0,failed
